ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
314,20220101,20220113,20220108,27606,SO43711,3578.27
311,20220101,20220113,20220108,13513,SO43712,3578.27
310,20220102,20220114,20220109,27601,SO43713,3578.27
311,20220102,20220114,20220109,13591,SO43714,3578.27
314,20220102,20220114,20220109,16483,SO43715,3578.27
311,20220102,20220114,20220109,16529,SO43716,3578.27
336,20220102,20220114,20220109,25249,SO43717,699.0982
311,20220103,20220115,20220110,27668,SO43718,3578.27
312,20220103,20220115,20220110,27612,SO43719,3578.27
311,20220103,20220115,20220110,13264,SO43720,3578.27
310,20220103,20220115,20220110,13590,SO43721,3578.27
312,20220104,20220116,20220111,13581,SO43722,3578.27
332,20220104,20220116,20220111,14520,SO43723,699.0982
311,20220104,20220116,20220111,16520,SO43724,3578.27
311,20220105,20220117,20220112,13258,SO43725,3578.27
332,20220105,20220117,20220112,14560,SO43726,699.0982
311,20220105,20220117,20220112,16607,SO43727,3578.27
313,20220106,20220118,20220113,27666,SO43728,3578.27
346,20220106,20220118,20220113,11238,SO43729,3399.99
346,20220106,20220118,20220113,25861,SO43730,3399.99
314,20220106,20220118,20220113,16629,SO43731,3578.27
350,20220106,20220118,20220113,11025,SO43732,3374.99
312,20220106,20220118,20220113,27577,SO43733,3578.27
312,20220107,20220119,20220114,27604,SO43734,3578.27
310,20220107,20220119,20220114,16522,SO43735,3578.27
346,20220107,20220119,20220114,11002,SO43736,3399.99
311,20220108,20220120,20220115,13261,SO43737,3578.27
312,20220108,20220120,20220115,11606,SO43738,3578.27
310,20220108,20220120,20220115,13563,SO43739,3578.27
312,20220108,20220120,20220115,16527,SO43740,3578.27
310,20220109,20220121,20220116,27671,SO43741,3578.27
314,20220109,20220121,20220116,13576,SO43742,3578.27
347,20220109,20220121,20220116,11007,SO43743,3399.99
313,20220109,20220121,20220116,16631,SO43744,3578.27
311,20220110,20220122,20220117,16514,SO43745,3578.27
312,20220110,20220122,20220117,16616,SO43746,3578.27
314,20220111,20220123,20220118,27623,SO43747,3578.27
313,20220111,20220123,20220118,27625,SO43748,3578.27
314,20220111,20220123,20220118,27636,SO43749,3578.27
311,20220111,20220123,20220118,11591,SO43750,3578.27
313,20220111,20220123,20220118,11592,SO43751,3578.27
311,20220111,20220123,20220118,13265,SO43752,3578.27
310,20220111,20220123,20220118,16482,SO43753,3578.27
312,20220112,20220124,20220119,27617,SO43754,3578.27
311,20220112,20220124,20220119,27670,SO43755,3578.27
332,20220112,20220124,20220119,19941,SO43756,699.0982
350,20220112,20220124,20220119,11017,SO43757,3374.99
310,20220113,20220125,20220120,27646,SO43758,3578.27
310,20220113,20220125,20220120,13257,SO43759,3578.27
314,20220113,20220125,20220120,16352,SO43760,3578.27
310,20220113,20220125,20220120,16493,SO43761,3578.27
314,20220114,20220126,20220121,27578,SO43762,3578.27
313,20220114,20220126,20220121,16525,SO43763,3578.27
310,20220114,20220126,20220121,16612,SO43764,3578.27
346,20220114,20220126,20220121,11010,SO43765,3399.99
313,20220115,20220127,20220122,16518,SO43766,3578.27
350,20220115,20220127,20220122,11001,SO43767,3374.99
312,20220116,20220128,20220123,27649,SO43768,3578.27
312,20220116,20220128,20220123,21659,SO43769,3578.27
312,20220116,20220128,20220123,27614,SO43770,3578.27
330,20220116,20220128,20220123,14559,SO43771,699.0982
312,20220116,20220128,20220123,16524,SO43772,3578.27
314,20220116,20220128,20220123,16526,SO43773,3578.27
313,20220116,20220128,20220123,16348,SO43774,3578.27
347,20220116,20220128,20220123,11027,SO43775,3399.99
314,20220117,20220129,20220124,13260,SO43776,3578.27
311,20220117,20220129,20220124,16515,SO43777,3578.27
345,20220117,20220129,20220124,11018,SO43778,3399.99
326,20220117,20220129,20220124,25252,SO43779,699.0982
311,20220118,20220130,20220125,11599,SO43780,3578.27
312,20220118,20220130,20220125,16495,SO43781,3578.27
312,20220118,20220130,20220125,16516,SO43782,3578.27
312,20220118,20220130,20220125,16620,SO43783,3578.27
310,20220119,20220131,20220126,27667,SO43784,3578.27
311,20220119,20220131,20220126,11601,SO43785,3578.27
311,20220119,20220131,20220126,11607,SO43786,3578.27
344,20220119,20220131,20220126,29385,SO43787,3399.99
351,20220119,20220131,20220126,11239,SO43788,3374.99
351,20220119,20220131,20220126,25865,SO43789,3374.99
344,20220119,20220131,20220126,25857,SO43790,3399.99
314,20220119,20220131,20220126,16484,SO43791,3578.27
312,20220119,20220131,20220126,16623,SO43792,3578.27
344,20220119,20220131,20220126,11000,SO43793,3399.99
347,20220119,20220131,20220126,11029,SO43794,3399.99
312,20220120,20220201,20220127,27615,SO43795,3578.27
342,20220120,20220201,20220127,17956,SO43796,699.0982
312,20220120,20220201,20220127,16345,SO43797,3578.27
310,20220120,20220201,20220127,16521,SO43798,3578.27
312,20220120,20220201,20220127,16636,SO43799,3578.27
311,20220121,20220202,20220128,21710,SO43800,3578.27
311,20220121,20220202,20220128,13583,SO43801,3578.27
312,20220121,20220202,20220128,11593,SO43802,3578.27
314,20220122,20220203,20220129,21741,SO43803,3578.27
310,20220122,20220203,20220129,13585,SO43804,3578.27
328,20220122,20220203,20220129,14510,SO43805,699.0982
312,20220122,20220203,20220129,16523,SO43806,3578.27
312,20220123,20220204,20220130,11611,SO43807,3578.27
313,20220123,20220204,20220130,13259,SO43808,3578.27
310,20220123,20220204,20220130,16350,SO43809,3578.27
345,20220123,20220204,20220130,11004,SO43810,3399.99
346,20220123,20220204,20220130,11026,SO43811,3399.99
312,20220124,20220205,20220131,27662,SO43812,3578.27
350,20220124,20220205,20220131,28390,SO43813,3374.99
350,20220124,20220205,20220131,25866,SO43814,3374.99
311,20220124,20220205,20220131,16494,SO43815,3578.27
314,20220124,20220205,20220131,16496,SO43816,3578.27
310,20220124,20220205,20220131,16519,SO43817,3578.27
312,20220124,20220205,20220131,16528,SO43818,3578.27
346,20220124,20220205,20220131,11006,SO43819,3399.99
312,20220125,20220206,20220201,27651,SO43820,3578.27
310,20220125,20220206,20220201,27663,SO43821,3578.27
313,20220125,20220206,20220201,27669,SO43822,3578.27
342,20220125,20220206,20220201,19942,SO43823,699.0982
338,20220125,20220206,20220201,14558,SO43824,699.0982
313,20220125,20220206,20220201,16349,SO43825,3578.27
348,20220125,20220206,20220201,11008,SO43826,3374.99
338,20220125,20220206,20220201,25250,SO43827,699.0982
310,20220126,20220207,20220202,27605,SO43828,3578.27
310,20220126,20220207,20220202,27611,SO43829,3578.27
311,20220126,20220207,20220202,16347,SO43830,3578.27
349,20220126,20220207,20220202,11028,SO43831,3374.99
310,20220126,20220207,20220202,13584,SO43832,3578.27
310,20220127,20220208,20220203,21727,SO43833,3578.27
348,20220127,20220208,20220203,28393,SO43834,3374.99
348,20220127,20220208,20220203,19802,SO43835,3374.99
324,20220127,20220208,20220203,26620,SO43836,699.0982
350,20220127,20220208,20220203,11009,SO43837,3374.99
313,20220128,20220209,20220204,27641,SO43838,3578.27
311,20220128,20220209,20220204,27673,SO43839,3578.27
326,20220128,20220209,20220204,17957,SO43840,699.0982
314,20220128,20220209,20220204,13406,SO43841,3578.27
312,20220128,20220209,20220204,16630,SO43842,3578.27
313,20220129,20220210,20220205,22041,SO43918,3578.27
314,20220129,20220210,20220205,12124,SO43919,3578.27
313,20220129,20220210,20220205,28066,SO43920,3578.27
313,20220129,20220210,20220205,16743,SO43921,3578.27
310,20220129,20220210,20220205,13546,SO43922,3578.27
312,20220130,20220211,20220206,28018,SO43923,3578.27
310,20220130,20220211,20220206,12132,SO43924,3578.27
314,20220130,20220211,20220206,16661,SO43925,3578.27
351,20220131,20220212,20220207,11055,SO43926,3374.99
314,20220131,20220212,20220207,16662,SO43927,3578.27
313,20220131,20220212,20220207,16740,SO43928,3578.27
322,20220131,20220212,20220207,25270,SO43929,699.0982
312,20220201,20220213,20220208,28038,SO43930,3578.27
313,20220201,20220213,20220208,13548,SO43931,3578.27
314,20220201,20220213,20220208,16741,SO43932,3578.27
347,20220201,20220213,20220208,11031,SO43933,3399.99
346,20220201,20220213,20220208,11034,SO43934,3399.99
334,20220202,20220214,20220209,20048,SO43935,699.0982
311,20220202,20220214,20220209,28065,SO43936,3578.27
312,20220202,20220214,20220209,17047,SO43937,3578.27
310,20220202,20220214,20220209,16686,SO43938,3578.27
312,20220202,20220214,20220209,16659,SO43939,3578.27
336,20220202,20220214,20220209,25294,SO43940,699.0982
314,20220203,20220215,20220210,13600,SO43941,3578.27
310,20220203,20220215,20220210,17051,SO43942,3578.27
338,20220203,20220215,20220210,14565,SO43943,699.0982
344,20220203,20220215,20220210,11054,SO43944,3399.99
310,20220203,20220215,20220210,16675,SO43945,3578.27
313,20220203,20220215,20220210,16687,SO43946,3578.27
310,20220203,20220215,20220210,16712,SO43947,3578.27
345,20220203,20220215,20220210,11047,SO43948,3399.99
310,20220204,20220216,20220211,27726,SO43949,3578.27
311,20220204,20220216,20220211,28014,SO43950,3578.27
311,20220204,20220216,20220211,16696,SO43951,3578.27
312,20220204,20220216,20220211,16639,SO43952,3578.27
342,20220205,20220217,20220212,20049,SO43953,699.0982
311,20220205,20220217,20220212,13602,SO43954,3578.27
314,20220205,20220217,20220212,13661,SO43955,3578.27
344,20220205,20220217,20220212,11030,SO43956,3399.99
313,20220206,20220218,20220213,28068,SO43957,3578.27
312,20220206,20220218,20220213,16658,SO43958,3578.27
348,20220206,20220218,20220213,11035,SO43959,3374.99
349,20220206,20220218,20220213,11046,SO43960,3374.99
311,20220207,20220219,20220214,28031,SO43961,3578.27
312,20220207,20220219,20220214,28076,SO43962,3578.27
314,20220207,20220219,20220214,16685,SO43963,3578.27
312,20220207,20220219,20220214,16745,SO43964,3578.27
351,20220207,20220219,20220214,11038,SO43965,3374.99
347,20220207,20220219,20220214,11039,SO43966,3399.99
313,20220208,20220220,20220215,28040,SO43967,3578.27
313,20220208,20220220,20220215,28067,SO43968,3578.27
310,20220208,20220220,20220215,28071,SO43969,3578.27
311,20220208,20220220,20220215,16684,SO43970,3578.27
314,20220208,20220220,20220215,16657,SO43971,3578.27
314,20220209,20220221,20220216,21939,SO43972,3578.27
312,20220209,20220221,20220216,28039,SO43973,3578.27
312,20220209,20220221,20220216,13687,SO43974,3578.27
312,20220209,20220221,20220216,13540,SO43975,3578.27
310,20220209,20220221,20220216,28063,SO43976,3578.27
312,20220209,20220221,20220216,16703,SO43977,3578.27
310,20220210,20220222,20220217,28030,SO43978,3578.27
322,20220210,20220222,20220217,14576,SO43979,699.0982
351,20220210,20220222,20220217,11048,SO43980,3374.99
314,20220210,20220222,20220217,16664,SO43981,3578.27
342,20220210,20220222,20220217,25271,SO43982,699.0982
314,20220211,20220223,20220218,28017,SO43983,3578.27
311,20220211,20220223,20220218,13545,SO43984,3578.27
313,20220211,20220223,20220218,13515,SO43985,3578.27
310,20220211,20220223,20220218,28070,SO43986,3578.27
310,20220212,20220224,20220219,28042,SO43987,3578.27
344,20220212,20220224,20220219,11244,SO43988,3399.99
312,20220212,20220224,20220219,28083,SO43989,3578.27
344,20220212,20220224,20220219,25872,SO43990,3399.99
310,20220212,20220224,20220219,16660,SO43991,3578.27
311,20220212,20220224,20220219,16638,SO43992,3578.27
314,20220214,20220226,20220221,16929,SO43993,3578.27
314,20220215,20220227,20220222,27681,SO43994,3578.27
312,20220215,20220227,20220222,21813,SO43995,3578.27
310,20220215,20220227,20220222,27920,SO43996,3578.27
310,20220215,20220227,20220222,28022,SO43997,3578.27
348,20220215,20220227,20220222,11033,SO43998,3374.99
311,20220215,20220227,20220222,28047,SO43999,3578.27
311,20220216,20220228,20220223,27918,SO44000,3578.27
313,20220216,20220228,20220223,28044,SO44001,3578.27
336,20220216,20220228,20220223,14572,SO44002,699.0982
342,20220216,20220228,20220223,19325,SO44003,699.0982
310,20220216,20220228,20220223,28061,SO44004,3578.27
334,20220216,20220228,20220223,26629,SO44005,699.0982
310,20220216,20220228,20220223,16744,SO44006,3578.27
